superkingdom;Phylum;Class;Order;Family;Genus;N1S;N1B;N2S;N2B;N3S;N3B;N4S;N4B;N5S;N5B;N6S;N6B;N7S;N7B
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;1365;3132;1083;831;91;39;810;1209;134;849;499;214;72;12
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;526;1204;373;274;43;20;211;282;175;190;73;26;71;991
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;406;770;252;178;134;15;146;244;38;143;244;35;60;328
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;253;298;171;131;39;136;160;161;10;99;33;68;42;199
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;227;320;49;56;0;0;54;128;0;124;13;0;0;0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia ;211;471;209;64;16;0;78;178;9;166;0;22;8;12
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;123;306;110;107;30;34;84;139;5;90;144;13;23;22
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;120;290;23;9;6;1;15;26;0;12;15;5;4;38
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;105;276;6;10;0;0;8;7;0;1;4;0;0;0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;103;104;69;34;15;3;48;48;0;34;22;3;4;87
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;95;298;152;59;5;1;72;33;3;27;11;3;0;27
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;83;101;40;75;0;0;44;91;64;60;23;0;0;0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;81;146;101;72;2;1;80;143;3;70;69;0;12;80
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;62;32;16;13;4;5;15;30;6;23;16;17;3;35
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;49;56;4;7;0;0;8;6;0;2;2;2;4;58
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Candidatus;45;63;54;18;0;0;63;15;0;9;0;0;0;0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Candidatus;45;63;54;18;0;0;63;15;0;9;0;0;0;0
