Genus;Trophic Mode;Citation
Absidia;Saprotroph;Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acarospora;Symbiotroph;Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Acarosporina;Symbiotroph;Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acaulospora;Symbiotroph;Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
Acephala;Saprotroph-Symbiotroph;Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as ECM/not ECM)
Acericola;Saprotroph;Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
Acremonium;Pathotroph-Saprotroph-Symbiotroph;Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045))
Acroscyphus;Symbiotroph;Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Aequabiliella;Pathotroph;Crous PW, et al. 2015. Persoonia 34:167-266 ((https://doi.org/10.3767/003158515X688433))
Agaricus; Saprotroph;Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Achroiostachys;Saprotroph;Lombard L, et al. 2016. Persoonia 36:156-246 ((https://doi.org/10.3767/003158516X691582))
Alanphillipsia;Pathotroph-Saprotroph-Symbiotroph;Crous PW, et al. 2014. Persoonia 33:212-289 ((https://doi.org/10.3767/003158514X685680))
Alatosessilispora;Symbiotroph;Ando K, Tubaki K. 1984. Transactions of the Mycological Society of Japan 25:21-37
Alatospora;Saprotroph;Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Allelochaeta;Pathotroph;Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
Alloleptosphaeria;Saprotroph;Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
Allophoma;Pathotroph;Chen Q, et al. 2015. Studies in Mycology 82:137-217 ((https://doi.org/10.1016/j.simyco.2015.10.003))
